,Name,Street,City,State,ZIP Code
71,Expertise Cosmetology Institute,1911 Stella Lake Street,Las Vegas,NV,89106
72,Exposito School of Hair Design,3710 Mockingbird Ln.,Amarillo,TX,79109-3208
73,Expression College for Digital Arts,6601 Shellmond St,Emeryville,CA,94608
74,Fab School,"2001 Third Street, Suite E",Riverside,CA,92507
75,Facultad de Derecho Eugenio Maria de Hostos,Calle Peral #57 Sur,Mayaguez,PR,00680
76,Fairfield University,1073 N Benson Rd,Fairfield,CT,06824-5195
77,Fairleigh Dickinson University-College at Florham,285 Madison Ave,Madison,NJ,07940
78,Fairleigh Dickinson University-Metropolitan Campus,1000 River Rd,Teaneck,NJ,07666
79,Fairmont State University,1201 Locust Ave,Fairmont,WV,26554-2470
80,Fairview Beauty Academy,22610 Lorain Rd,Fairview Park,OH,44126-2214
81,Faith Baptist Bible College and Theological Seminary,1900 NW 4th St,Ankeny,IA,50023-2152
82,Faith Evangelical College & Seminary,3504 N Pearl St,Tacoma,WA,98407-0186
83,Faith Theological Seminary,529 Walker Avenue,Baltimore,MD,21212-2624
84,Family of Faith College,30 Kinville,Shawnee,OK,74802
85,Faris Technical Institute Inc,1119 Kent Ave,Nederland,TX,77627-3829
86,Farmingdale State College,2350 Broadhollow Road,Farmingdale,NY,11735-1021
87,Fashion Focus Hair Academy,2184 Gulf Gate Dr,Sarasota,FL,34231-4813
88,Fashion Institute of Design & Merchandising-Los Angeles,919 S Grand Ave,Los Angeles,CA,90015-1421
89,Fashion Institute of Design & Merchandising-Orange County,17590 Gillette Avenue,Irvine,CA,92614-5610
90,Fashion Institute of Design & Merchandising-San Diego,"350 Tenth Avenue, Third Floor",San Diego,CA,92101-4903
91,Fashion Institute of Design & Merchandising-San Francisco,55 Stockton St,San Francisco,CA,94108-5805
92,Fashion Institute of Technology,227 W 27th St,New York,NY,10001-5992
93,Faulkner University,5345 Atlanta Hwy,Montgomery,AL,36109-3390
94,Faust Institute of Cosmetology-Spirit Lake,1543 18th Street,Spirit Lake,IA,51360
95,Faust Institute of Cosmetology-Storm Lake,1290 N. Lake Avenue,Storm Lake,IA,50588
96,Fayette Beauty Academy,386 N Glynn St,Fayetteville,GA,30214
97,Fayette Beauty Academy-Ritz Beauty Academy,1999 Candler Road,Decatur,GA,30032-4281
98,Fayette Beauty Academy-Ritz Beauty Academy,1359 Mount Zion Road,Morrow,GA,30260-2357
99,Fayette County Career & Technical Institute Practical Nursing Program,175 Georges Fairchance Rd,Uniontown,PA,15401
0,Fayette Institute of Technology,300 West Oyler Avenue,Oak Hill,WV,25901
1,Fayetteville Beauty College,3442 Bragg Blvd,Fayetteville,NC,28303
2,Fayetteville College of Cosmetology Arts and Sciences,201 West College Street,Fayetteville,TN,37334-0135
3,Fayetteville State University,1200 Murchison Rd,Fayetteville,NC,28301-4298
4,Fayetteville Technical Community College,2201 Hull Rd,Fayetteville,NC,28303-0236
5,Feather River Community College District,570 Golden Eagle Ave,Quincy,CA,95971-9124
6,Federico Beauty Institute,1515 Sports Drive Ste 100,Sacramento,CA,95834
7,Felician College,262 S Main St,Lodi,NJ,07644
8,Ferris State University,1201 S State St,Big Rapids,MI,49307-2251
9,Ferrum College,215 Ferrum Mountain Road,Ferrum,VA,24088-9000
10,Fielding Graduate University,2020 De La Vina St,Santa Barbara,CA,93105-3538
11,FINE Mortuary College,150 Kerry Place,Norwood,MA,02062
12,Finger Lakes Community College,3325 Marvin Sands Drive,Canandaigua,NY,14424-8395
13,Finger Lakes Health College of Nursing,196 North Street,Geneva,NY,14456-1651
14,Finger Lakes School of Massage,272 North Bedford Rd,Mt. Kisco,NY,10549
15,Finger Lakes School of Massage,1251 Trumansburg Rd,Ithaca,NY,14850
16,Finger Lakes School of Massage,"1890 N. Market Street, Suite 201",Frederick,MD,21701-3030
17,Finlandia University,601 Quincy St,Hancock,MI,49930-1832
18,Firelands Regional Medical Center School of Nursing,1912 Hayes Ave,Sandusky,OH,44870-4788
19,First Class Cosmetology School,306 State Street,Beloit,WI,53511-0000
20,First Coast Barber Academy,5617 Timuquana Road,Jacksonville,FL,32210-8054
21,First Coast Technical College,2980 Collins Ave,Saint Augustine,FL,32084-1919
22,Fisher College,118 Beacon Street,Boston,MA,02116
23,Fisk University,1000 17th Ave North,Nashville,TN,37208-4501
24,Fitchburg State University,160 Pearl St,Fitchburg,MA,01420-2697
25,Five Branches University,200 7th Avenue,Santa Cruz,CA,95062
26,Five Towns College,305 North Service Road,Dix Hills,NY,11746-5871
27,Flagler College-St Augustine,74 King Street,Saint Augustine,FL,32084
28,Flagler College-Tallahassee,444 Appleyard Dr,Tallahassee,FL,32304
29,Flagler Technical Institute,3535 Old Kings Road North,Palm Coast,FL,32137-4714
30,Flair Beauty College,18914 Soledad Canyon Road,Canyon Country,CA,91351-3381
31,Flathead Valley Community College,777 Grandview Dr,Kalispell,MT,59901
32,Fletcher Technical Community College,1407 Highway 311,Schriever,LA,70395
33,Flint Hills Technical College,3301 W 18th St,Emporia,KS,66801-5957
34,Flint Institute of Barbering Inc,3214 Flushing Road,Flint,MI,48504-4395
35,Florida Academy,4387 Colonial Boulevard,Fort Myers,FL,33966-1155
36,Florida Academy of Health & Beauty,2300 NW 9th Ave,Wilton Manor,FL,33311
37,Florida Agricultural and Mechanical University,1500 S Martin Luther King Jr Blvd,Tallahassee,FL,32307
38,Florida Atlantic University,"777 Glades Rd, Administration Bldg., Room 339",Boca Raton,FL,33431-0991
39,Florida Barber Academy,3269 North Federal Highway,Pompano Beach,FL,33064
40,Florida Career College-Miami,"1321 SW 107 Avenue, Suite 201B",Miami,FL,33174
41,Florida Coastal School of Law,8787 Baypine Road,Jacksonville,FL,32256
42,Florida College of Integrative Medicine,7100 Lake Ellenor Dr,Orlando,FL,32809-5721
43,Florida College of Natural Health-Bradenton,616 67th Street Circle East,Bradenton,FL,34208
44,Florida College of Natural Health-Maitland,2600 Lake Lucien Drive Suite#240,Maitland,FL,32751
45,Florida College of Natural Health-Miami,7925 NW 12th St Ste 201,Miami,FL,33126
46,Florida College of Natural Health-Pompano Beach,2001 W Sample Rd Ste 100,Pompano Beach,FL,33064
47,Florida Education Institute,5818 SW 8th St,Miami,FL,33144
48,Florida Gateway College,Highway 90 East,Lake City,FL,32025-2007
49,Florida Gulf Coast University,10501 Fgcu Blvd S,Fort Myers,FL,33965-6565
50,Florida Institute of Recording Sound and Technology,423 S Keller Rd. Suite 100,Orlando,FL,32810
51,Florida Institute of Technology,150 West University Boulevard,Melbourne,FL,32901-6975
52,Florida Institute of Ultrasound Inc,8800 University Pky Ste A4,Pensacola,FL,32514
53,Florida International University,11200 S. W. 8 Street,Miami,FL,33199
54,Florida Keys Community College,5901 College Rd,Key West,FL,33040
55,Florida Memorial University,15800 NW 42 Avenue,Miami Gardens,FL,33054-6199
56,Florida National University-Main Campus,4425 West. Jose Regueiro (20th) Avenue,Hialeah,FL,33012
57,Florida Panhandle Technical College,757 Hoyt Street,Chipley,FL,32428-1618
58,Florida Polytechnic University,4700 Research Way,Lakeland,FL,33805-8531
59,Florida School of Massage,6421 SW 13th St,Gainesville,FL,32608-5419
60,Florida School of Traditional Midwifery,810 E University Ave,Gainesville,FL,32601
61,Florida Southern College,111 Lake Hollingsworth Dr,Lakeland,FL,33801-5698
62,Florida SouthWestern State College,8099 College Parkway,Fort Myers,FL,33919
63,Florida State College at Jacksonville,501 W State St,Jacksonville,FL,32202
64,Florida State University,222 S. Copeland Street,Tallahassee,FL,32306-1037
65,Florida Technical College,12900 Challenger Parkway,Orlando,FL,32826
66,Florida Vocational Institute,6840 Southwest 40th Street,Miami,FL,33155-3762
67,Focus-Hope Information Technologies Center,1400 Oakman Blvd,Detroit,MI,48238
68,Folsom Lake College,10 College Parkway,Folsom,CA,95630
69,Fond du Lac Tribal and Community College,2101 14th St,Cloquet,MN,55720-2342
70,Fontbonne University,6800 Wydown Blvd,Saint Louis,MO,63105-3098
71,Foothill College,12345 El Monte Rd,Los Altos Hills,CA,94022
72,Foothill-De Anza Community College District,12345 El Monte Rd,Los Altos Hills,CA,94022-4599
73,Forbes Road Career and Technology Center,607 Beatty Rd,Monroeville,PA,15146
74,Fordham University,441 E Fordham Rd,Bronx,NY,10458
75,Forest Institute of Professional Psychology,2885 W Battlefield Rd,Springfield,MO,65807
76,Forrest College,601 E River Street,Anderson,SC,29624-2405
77,Fort Berthold Community College,220 8th Ave. N,New Town,ND,58763
78,Fort Hays State University,600 Park St,Hays,KS,67601-4099
79,Fort Lewis College,1000 Rim Drive,Durango,CO,81301-3999
80,Fort Myers Institute of Technology,3800 Michigan Ave,Fort Myers,FL,33916-2204
81,Fort Peck Community College,605 Indian Street,Poplar,MT,59255-0398
82,Fort Pierce Beauty Academy,3028 S US 1,Fort Pierce,FL,34982-6333
83,Fort Scott Community College,2108 S Horton,Fort Scott,KS,66701
84,Fort Valley State University,1005 State University Dr,Fort Valley,GA,31030-4313
85,Fort Worth Beauty School,6785 Camp Bowie Blvd. Suite 100,Fort Worth,TX,76116
86,Fortis College-Akron,1040 East Tallmidge Avenue,Akron,OH,44310-0000
87,Fortis College-Baton Rouge,9255 Interline Avenue,Baton Rouge,LA,70809-1908
88,Fortis College-Centerville,555 E Alex Bell Rd,Centerville,OH,45459-2712
89,Fortis College-Cincinnati,11499 Chester Road Ste 200,Cincinnati,OH,45246
90,Fortis College-Columbia,246 Stoneridge Dr Ste 101,Columbia,SC,29210
91,Fortis College-Columbus,4151 Executive Parkway Ste 120,Westerville,OH,43081
92,Fortis College-Dothan,200 Vulcan Way,Dothan,AL,36303
93,Fortis College-Foley,200 East Laurel Avenue,Foley,AL,36535
94,Fortis College-Houston,1201 West Oaks Mall,Houston,TX,77082
95,Fortis College-Indianapolis,9001 N Wesleyan Rd Ste 101,Indianapolis,IN,46268
96,Fortis College-Landover,4351 Garden City Drive,Landover,MD,20785-2223
97,Fortis College-Largo,6565 Ulmerton Road,Largo,FL,33771
98,Fortis College-Mobile,7033 Airport Blvd.,Mobile,AL,36608
99,Fortis College-Montgomery,3470 Eastdale Cir,Montgomery,AL,36117
0,Fortis College-Montgomery,3736 Atlanta Hwy,Montgomery,AL,36109
1,Fortis College-Norfolk,6300 Center Dr Bldg 22,Norfolk,VA,23502-4101
2,Fortis College-Orange Park,560 Wells Road,Orange Park,FL,32073
3,Fortis College-Phoenix,555 N 18 St Ste 110,Phoenix,AZ,85006
4,Fortis College-Ravenna,653 Enterprise Parkway,Ravenna,OH,44266
5,Fortis College-Richmond,"2000 Westmoreland Street, Suite A",Richmond,VA,23230
6,Fortis College-Salt Lake City,3949 S 700 E Ste 150,Salt Lake City,UT,84107
7,Fortis College-Smyrna,2108 Cobb Parkway,Smyrna,GA,30080-7630
8,Fortis College-Winter Park,1573 W. Fairbanks Ave Suite #100,Winter Park,FL,32789
9,Fortis Institute,"1630 South Congress Avenue, Suite 300",Palm Springs,FL,33461-2171
10,Fortis Institute-Baltimore,6901 Security Blvd Ste 21,Baltimore,MD,21244
11,Fortis Institute-Birmingham,100 London Pkwy,Birmingham,AL,35211
12,Fortis Institute-Cookeville,1025 Highway 111,Cookeville,TN,38501-4305
13,Fortis Institute-Erie,5757 W 26th St,Erie,PA,16506-1013
14,Fortis Institute-Fort Lauderdale,"4850 W. Oakland Park Blvd., Suite 224",Lauderdale Lakes,FL,33313
15,Fortis Institute-Forty Fort,166 Slocum Street,Forty Fort,PA,18704-2936
16,Fortis Institute-Grand Prairie,401 E Palace Pkwy Ste 100,Grand Prairie,TX,75050
17,Fortis Institute-Houston,450 N Sam Houston Pkwy E Ste 200,Houston,TX,77060
18,Fortis Institute-Jacksonville,5995-2 University Blvd West,Jacksonville,FL,32216
19,Fortis Institute-Lawrenceville,"2572 Brunswick Pike, Suite 100",Lawrenceville,NJ,08648
20,Fortis Institute-Miami,"9035 Sunset Drive, Suite 200",Miami,FL,33173-3431
21,Fortis Institute-Mulberry,"5925 Imperial Parkway, Suite 200",Mulberry,FL,33860
22,Fortis Institute-Nashville,"3354 Perimeter Hill Drive, Suite 105",Nashville,TN,37211
23,Fortis Institute-Pensacola,4081 E Olive Rd Ste B,Pensacola,FL,32514
24,Fortis Institute-Port Saint Lucie,9022 South US Highway 1,Port Saint Lucie,FL,34952
25,Fortis Institute-Scranton,517 Ash Street,Scranton,PA,18509-2903
26,Fortis Institute-Towson,700 York Road,Towson,MD,21204-9840
27,Fortis Institute-Wayne,201 Willowbrook Blvd.,Wayne,NJ,07470
28,Fosters Cosmetology College,1813 Hwy 15 N,Ripley,MS,38663-0066
29,Fountain of Youth Academy of Cosmetology,616 Lincoln Ave,Bellevue,PA,15202
30,Fountainhead College of Technology,10208 Technology Drive,Knoxville,TN,37932
31,Four County Career Center,22-900 State Rte 34,Archbold,OH,43502
32,Four Rivers Career Center,1978 Image Drive,Washington,MO,63090-4235
33,Four-D College,1020 East Washington Street,Colton,CA,92324
34,Fox College,18020 Oak Park Avenue,Tinley Park,IL,60477
35,Fox Institute of Business-Clifton,346 LEXINGTON AVE,CLIFTON,NJ,07011
36,Fox Institute of Business-West Hartford,99 South Street,West Hartford,CT,06110-1922
37,Fox Valley Technical College,1825 N Bluemound Dr,Appleton,WI,54912-2277
38,Framingham State University,100 State Street,Framingham,MA,01701-9101
39,Francis Marion University,4822 East Palmetto Street,Florence,SC,29506
40,Francis Tuttle Technology Center,12777 N Rockwell Ave,Oklahoma City,OK,73142-2789
41,Franciscan School of Theology,4050 Mission Avenue,Oceanside,CA,92057
42,Franciscan University of Steubenville,1235 University Blvd,Steubenville,OH,43952-1763
43,Francois D College of Hair Skin and Nails,8932 South State Street,Sandy,UT,84070-2004
44,Frank Lloyd Wright School of Architecture,Taliesin West,Scottsdale,AZ,85261-4430
45,Frank Phillips College,1301 W. Roosevelt St.,Borger,TX,79008-5118
46,Franklin Academy,1605 Professional Park Drive NW,Cleveland,TN,37312-3862
47,Franklin and Marshall College,College Ave,Lancaster,PA,17604-3003
48,Franklin Career Institute,91 N Franklin St,Hempstead,NY,11550-3003
49,Franklin College,101 Branigin Blvd,Franklin,IN,46131-2623
50,Franklin County Career and Technology Center,1015 Philadelphia Avenue,Chambersburg,PA,17201
51,Franklin Pierce University,40 University Drive,Rindge,NH,03461-0060
52,Franklin Technology-MSSU,3950 E. Newman Road,Joplin,MO,64801-1595
53,Franklin University,201 S Grant Ave,Columbus,OH,43215-5399
54,Franklin W Olin College of Engineering,1000 Olin Way,Needham,MA,02492-1200
55,Fred D. Learey Technical Center,7010 North Manhattan Ave,Tampa,FL,33614
56,Fred W Eberle Technical Center,208 Morton Ave,Buckhannon,WV,26201
57,Frederick Community College,7932 Opossumtown Pike,Frederick,MD,21702-2964
58,Frederick School of Cosmetology,403 S Jefferson St,Frederick,MD,21701
59,Fredrick and Charles Beauty College,831 F St,Eureka,CA,95501
60,Freed-Hardeman University,158 E Main St,Henderson,TN,38340-2399
61,Fremont College,18000 Studebaker Road Suite 900A,Cerritos,CA,90703
62,French Academy of Cosmetology,111 W Exchange St Ste A,Spring Lake,MI,49456
63,Fresno City College,1101 E. University Ave,Fresno,CA,93741
64,Fresno Pacific University,1717 S Chestnut Ave,Fresno,CA,93702-4709
65,Friends University,2100 W. University Ave.,Wichita,KS,67213
66,Front Range Community College,3645 W 112th Ave,Westminster,CO,80031
67,Frontier Community College,2 Frontier Drive,Fairfield,IL,62837
68,Frontier Nursing University,195 School Street,Hyden,KY,41749
69,Frostburg State University,101 Braddock Road,Frostburg,MD,21532-1099
70,Full Sail University,3300 University Blvd,Winter Park,FL,32792-7429
71,Fullen School of Hair Design,1909 Broadway,Scottsbluff,NE,69361
72,Fuller Theological Seminary in California,135 N Oakland Ave,Pasadena,CA,91182
73,Fullerton College,321 E Chapman Avenue,Fullerton,CA,92832-2095
74,Fulton-Montgomery Community College,2805 State Hwy 67,Johnstown,NY,12095-3790
75,Furman University,3300 Poinsett Highway,Greenville,SC,29613-6162
76,Futura Career Institute,4512 West 12th Avenue,Hialeah,FL,33012-3325
77,Future Generations Graduate School,390 Road Less Traveled,Franklin,WV,26807-0000
78,Future-Tech Institute,"3446 SW 8th St, suite 218",Miami,FL,33135-4142
79,G Skin & Beauty Institute,"1200 Harger Road, Suite 100",Oakbrook,IL,60523
80,Gadsden State Community College,1001 George Wallace Dr,Gadsden,AL,35903
81,Galaxy Medical College,"6400 Laurel Canyon Boulevard, Suite 115",North Hollywood,CA,91606-1593
82,Galen College of Nursing-Cincinnati,100 E Business Way Ste 200,Cincinnati,OH,45241
83,Galen College of Nursing-Louisville,3050 Terra Crossing Blvd.,Louisville,KY,40245
84,Galen College of Nursing-San Antonio,"7411 John Smith Drive, Suite 300",San Antonio,TX,78229
85,Galen College of Nursing-Tampa Bay,10200 Dr. Martin Luther King Jr. Street N,Saint Petersburg,FL,33716
86,Gallaudet University,"800 Florida Ave, NE",Washington,DC,20002-3695
87,Gallery College of Beauty,38132 S Gratiot,Clinton Township,MI,48036
88,Gallipolis Career College,"1176 Jackson Pke, Suite 312",Gallipolis,OH,45631-2600
89,Galveston College,4015 Ave Q,Galveston,TX,77550-7496
90,Gannon University,109 W Sixth St,Erie,PA,16541-0001
91,Garden City Community College,801 Campus Dr,Garden City,KS,67846-6333
92,Gardner-Webb University,Main St,Boiling Springs,NC,28017-0997
93,Garnet Career Center,422 Dickinson St,Charleston,WV,25301
94,Garrett College,687 Mosser Road,McHenry,MD,21541
95,Garrett-Evangelical Theological Seminary,2121 Sheridan Road,Evanston,IL,60201-3298
96,Gary Manuel Aveda Institute,802 East Pike Street,Seattle,WA,98122
97,Gateway Community and Technical College,500 Technology Way,Florence,KY,41042
98,Gateway Community College,20 Church Street,New Haven,CT,06510
99,GateWay Community College,108 N. 40th Street,Phoenix,AZ,85034
0,Gateway Technical College,3520 30th Ave,Kenosha,WI,53144-1690
1,Gavilan College,5055 Santa Teresa Blvd,Gilroy,CA,95020
2,Geisinger-Lewistown Hospital School of Nursing,400 Highland Avenue,Lewistown,PA,17044
3,Gem City College,700 State St,Quincy,IL,62301
4,Gemini School of Visual Arts & Communication,"12325 Hymeadow Drive, Suite 3-100",Austin,TX,78750-1861
5,Gemological Institute of America-Carlsbad,5345 Armada Dr,Carlsbad,CA,92008
6,Gemological Institute of America-New York,"50 West 47th Street, 8th Floor",New York,NY,10036
7,Gene Juarez Academy of Beauty-Federal Way,2222 So. 314 St,Federal Way,WA,98003
8,Gene Juarez Academy of Beauty-Mountlake Terrace,6007- A 244th Street SW,Mountlake Terrace,WA,98043
9,Genesee Community College,One College Rd,Batavia,NY,14020-9704
10,Genesee Valley BOCES-Practical Nursing Program,Adult Education Office 8250 State St Rd,Batavia,NY,14020
11,Genesis Career College-Cookeville,880-A East 10th Street,Cookeville,TN,38501-1907
12,Genesis Career College-Lebanon,1505 Noah Court,Lebanon,TN,37087
13,Geneva College,3200 College Ave,Beaver Falls,PA,15010-3599
14,Gentle Healing School of Massage,1274 South River Rd,Cranbury,NJ,08512
15,George C Wallace State Community College-Dothan,1141 Wallace Drive,Dothan,AL,36303-9234
16,George C Wallace State Community College-Hanceville,801 Main St NW,Hanceville,AL,35077-2000
17,George C Wallace State Community College-Selma,3000 Earl Goodwin Parkway,Selma,AL,36702-2808
18,George Fox University,414 N Meridian St,Newberg,OR,97132
19,George Mason University,4400 University Dr,Fairfax,VA,22030-4444
20,George Stone Technical Center,2400 Longleaf Dr,Pensacola,FL,32526-8922
21,George T Baker Aviation School,3275 NW 42nd Ave,Miami,FL,33142
22,George Washington University,"1918 F Street, NW",Washington,DC,20052
23,Georgetown College,400 East College Street,Georgetown,KY,40324-1696
24,Georgetown University,37th and O St NW,Washington,DC,20057-0001
25,Georgia Beauty Academy,303 Fernwood Ave,Dalton,GA,30721-3952
26,Georgia Career Institute,900 Flat Shoals Road SE,Conyers,GA,30094
27,Georgia Christian University,6789 Peachtree Industrial Boulevard,Atlanta,GA,30360
28,Georgia College and State University,231 W Hancock Street,Milledgeville,GA,31061
29,Georgia Gwinnett College,1000 University Center Lane,Lawrenceville,GA,30043
30,Georgia Highlands College,"3175 Cedartown Highway, S.E.",Rome,GA,30161-3897
31,Georgia Institute of Cosmetology,3529 Atlanta Hwy,Athens,GA,30606-3152
32,Georgia Institute of Technology-Main Campus,225 North Ave,Atlanta,GA,30332-0530
33,Georgia Military College,201 E Greene St,Milledgeville,GA,31061
34,Georgia Northwestern Technical College,One Maurice Culberson Drive,Rome,GA,30161
35,Georgia Perimeter College,3251 Panthersville Rd,Decatur,GA,30034-3832
36,Georgia Piedmont Technical College,495 N Indian Creek Dr,Clarkston,GA,30021-2397
37,Georgia Regents University,1120 Fifteenth St,Augusta,GA,30912
38,Georgia Southern University,1332 Southern Drive,Statesboro,GA,30460-8126
39,Georgia Southwestern State University,800 Georgia Southwestern State University Dr.,Americus,GA,31709-4693
40,Georgia State University,33 gilmer st,Atlanta,GA,30303-3083
41,Georgian Court University,900 Lakewood Ave,Lakewood,NJ,08701-2697
42,Gerbers Akron Beauty School,1915 West Market ST. Suite 800,Akron,OH,44313
43,Germanna Community College,2130 Germanna Hwy,Locust Grove,VA,22508-2102
44,Gerstner Sloan-Kettering Graduate School of Biomedical Sciences,"417 E 68th St, Suite 669",New York,NY,10065
45,Gettysburg College,300 N Washington St,Gettysburg,PA,17325
46,Gill-Tech Academy of Hair Design,230 S. McCarthy Rd,Appleton,WI,54914-8613
47,Glen Dow Academy of Hair Design,W 309 Riverside Ave,Spokane,WA,99201
48,Glen Oaks Community College,62249 Shimmel Rd,Centreville,MI,49032-9719
49,Glendale Career College,240 North Brand Boulevard Lower Level,Glendale,CA,91203
50,Glendale Community College,6000 W Olive Ave,Glendale,AZ,85302
51,Glendale Community College,1500 N Verdugo Rd,Glendale,CA,91208-2894
52,Glenville State College,200 High Street,Glenville,WV,26351-1292
53,Glenwood Beauty Academy,51241 Hwy 6 and 24 Ste 1,Glenwood Springs,CO,81601
54,Global Health College,6101 Stevenson Avenue,Alexandria,VA,22304
55,Global Institute,Ave Luis Munoz Marin Esq Georgetti Angora Park Plaza,Caguas,PR,00725-6485
56,Globe Institute of Technology,500 7th Ave,New York,NY,10018
57,Globe University-Appleton,5045 W. Grande Market Drive,Grand Chute,WI,54914-0000
58,Globe University-Eau Claire,4955 Bullis Farm Rd,Eau Claire,WI,54701-5168
59,Globe University-La Crosse,2651 Midwest Dr,Onalaska,WI,54650
60,Globe University-Madison East,4901 Eastpark Blvd,Madison,WI,53718
61,Globe University-Minneapolis,"IDS Center, 80 South 8th Street, Suite 51",Minneapolis,MN,55402
62,Globe University-Sioux Falls,5101 S Broadband Ln,Sioux Falls,SD,57108
63,Globe University-Woodbury,8089 Globe Drive,Woodbury,MN,55125-3388
64,Globe University-Green Bay,2620 Development Drive,Green Bay,WI,54311
65,Globe University-Madison West,1345 Deming Way,Middleton,WI,53562
66,Globe University-Wausau,1480 Country Road XX,Rothschild,WI,54474
67,Globelle Technical Institute,Marginal 114 Monte Carlo,Vega Baja,PR,00693-0000
68,Gloria Francis School of Make-Up Artistry,2 Nelson Avenue,Hicksville,NY,11801-3873
69,Gnomon School of Visual Effects,1015 N Cahuenga Blvd Ste 54301,Hollywood,CA,90038
70,Goddard College,123 Pitkin Road,Plainfield,VT,05667-9432
71,Gods Bible School and College,1810 Young Street,Cincinnati,OH,45202-6838
72,Gogebic Community College,E4946 Jackson Rd,Ironwood,MI,49938
73,Golden Gate University-San Francisco,536 Mission Street,San Francisco,CA,94105-2968
74,Golden State College of Court Reporting,"7901 Stoneridge Drive, Suite 105",Pleasanton,CA,94588-3677
75,Golden West College,15744 Goldenwest St.,Huntington Beach,CA,92647-2710
76,Goldey-Beacom College,4701 Limestone Rd,Wilmington,DE,19808
77,Golf Academy of America-Altamonte Springs,510 South Hunt Club Blvd.,Apopka,FL,32703
78,Golf Academy of America-Carlsbad,"1950 Camino Vida Roble, Ste. 125",Carlsbad,CA,92008
79,Golf Academy of America-Farmers Branch,"1861 Valley View Lane, Suite 100",Farmers Branch,TX,75234-8906
80,Golf Academy of America-Myrtle Beach,3268 Waccamaw Blvd.,Myrtle Beach,SC,29579
81,Golf Academy of America-Phoenix,"2031 N. Arizona Ave., Suite 2",Chandler,AZ,85225
82,Gonzaga University,E 502 Boone Ave,Spokane,WA,99258-0001
83,Good Samaritan College of Nursing and Health Science,375 Dixmyth Ave,Cincinnati,OH,45220-2489
84,Gooding Institute of Nurse Anesthesia,2901 Martin Luther King Jr. Blvd,Panama City,FL,32405
85,Goodwin College,One Riverside Drive,East Hartford,CT,06118
86,Gordon College,255 Grapevine Rd,Wenham,MA,01984
87,Gordon Cooper Technology Center,1 John C Bruton Blvd,Shawnee,OK,74804
88,Gordon State College,419 College Dr,Barnesville,GA,30204
89,Gordon-Conwell Theological Seminary,130 Essex St,South Hamilton,MA,01982
90,Goshen College,1700 S Main St,Goshen,IN,46526-4794
91,Goucher College,1021 Dulaney Valley Rd,Baltimore,MD,21204-2794
92,Governors State University,1 University Pky,University Park,IL,60484
93,Grabber School of Hair Design,9833 Watson Road,St. Louis,MO,63126
94,Grace Bible College,1011 Aldon SW,Wyoming,MI,49509
95,Grace College and Theological Seminary,1 Lancer Way,Winona Lake,IN,46590-1274
96,Grace College of Barbering,1206 Dickinson Ave,Greenville,NC,27834
97,Grace College of Divinity,5117 Cliffdale Road,Fayetteville,NC,28314-2343
98,Grace International Beauty School,136-31 41st Avenue,Flushing,NY,11355-2446
99,Grace Mission University,1645 West Valencia Drive,Fullerton,CA,92833-3860
0,Grace School of Theology,3705 College Park Dr Ste 140,Conroe,TX,77384-4894
1,Grace University,1311 S 9th St,Omaha,NE,68108-3629
2,Graceland University-Lamoni,1 University Place,Lamoni,IA,50140
3,Graduate School USA,"600 Maryland Avenue, SW",Washington,DC,20024
4,Graduate Theological Union,2400 Ridge Rd,Berkeley,CA,94709
5,Grady Health System Professional Schools,"80 Jesse Hill Jr Drive, SE",Atlanta,GA,30303-3050
6,Graham Hospital School of Nursing,210 W Walnut St,Canton,IL,61520-2497
7,Graham Webb International Academy of Hair,"1621 N. Kent St, Suite 1617 Ll Rosslyn Plaza",Arlington,VA,22209-2131
8,Grambling State University,403 Main Street,Grambling,LA,71245
9,Grand Canyon University,3300 W Camelback Rd,Phoenix,AZ,85017
10,Grand Rapids Community College,143 Bostwick Ave NE,Grand Rapids,MI,49503-3295
11,Grand River Technical School,1200 Fair St,Chillicothe,MO,64601
12,Grand Valley State University,1 Campus Dr,Allendale,MI,49401-9403
13,Grand View University,1200 Grandview Ave,Des Moines,IA,50316
14,Granite State College,25 Hall Street,Concord,NH,03301-3471
15,Grantham University,16025 West 113th Street,Lenexa,KS,66219
16,Gratz College,7605 Old York Rd,Melrose Park,PA,19027-3010
17,Grays Harbor College,1620 Edward P Smith Drive,Aberdeen,WA,98520-7599
18,Grayson College,6101 Grayson Drive,Denison,TX,75020-8299
19,Great Basin College,1500 College Parkway,Elko,NV,89801
20,Great Bay Community College,320 Corporate Drive,Portsmouth,NH,03801-2879
21,Great Falls College Montana State University,2100 16th Ave S,Great Falls,MT,59405
22,Great Lakes Christian College,6211 W Willow Hwy,Lansing,MI,48917-1299
23,Great Lakes Institute of Technology,5100 Peach Street,Erie,PA,16509-2482
24,Great Oaks Institute of Technology and Career Development,3254 E Kemper Rd,Cincinnati,OH,45241
25,Great Plains Technology Center,4500 W Lee Blvd,Lawton,OK,73505-8399
26,Greater Altoona Career & Technology Center,1500 Fourth Avenue,Altoona,PA,16602-3616
27,Greater Johnstown Career and Technology Center,445 Schoolhouse Rd,Johnstown,PA,15904-2998
28,Greater Lowell Technical School,250 Pawtucket Blvd,Tyngsboro,MA,01879
29,Green Mountain College,One Brennan Circle,Poultney,VT,05764-1199
